"employee_id","Experience_Category","claim_id","paid_cost$","loss_location_at","loss_location_on","city_of_incident","apta_desc","asset_vehicle_year","asset_manufacturer","loss_date","lat","long","formatted_address","years","cost_range","bus_age"
392897,"<18 Months",257251,0,NA,"Burnaby Transit Centre","Burnaby","Collisions with Other Vehicles (at G/C)",2007,"NOV",2020-04-04,49.27123,-123.020358,"3750 Kitchener St, Burnaby, BC V5C 3L8, Canada",2020,"Level1 (<$200)",13
392903,"<18 Months",256867,0,"Cambie St","E Broadway","Vancouver","Collisions with Other Vehicles",2009,"WF",2020-03-16,49.2402223,-123.1178489,"Cambie St, Vancouver, BC, Canada",2020,"Level1 (<$200)",11
392908,"<18 Months",256047,0,"Southridge Dr","Marine Dr","Burnaby","Collisions with Objects",2016,"WF",2020-02-06,49.20493,-122.9760884,"Marine Dr & Southridge Dr, Burnaby, BC V5J, Canada",2020,"Level1 (<$200)",4
392909,"<18 Months",255674,0,NA,"Dunbar Loop","Vancouver","Collisions with Other Vehicles (at G/C)",2007,"NOV",2020-01-24,49.2347765,-123.1853515,"Dunbar Loop, Vancouver, BC V6N 1W5, Canada",2020,"Level1 (<$200)",13
393410,"<18 Months",255958,510.53,"Kensington Ave","Hastings St","Burnaby","Collisions with Objects",2019,"WF",2020-01-31,49.2804055,-122.9700294,"Kensington Ave & Hastings St, Burnaby, BC V5B 4B2, Canada",2020,"Level2 ($200-$1.000)",1
392917,"<18 Months",255716,0,"Best St","Russell Ave","White Rock","Collisions with Other Vehicles",2017,"GM",2020-01-23,49.0292719,-122.7957027,"Best St & Russell Ave, White Rock, BC V4B 2R2, Canada",2020,"Level1 (<$200)",3
392876,"<18 Months",255335,0,NA,"Kootenay Loop Bay 3-4","Burnaby","Collisions with Objects (at G/C)",2008,"NOV",2020-01-12,49.2814044,-123.0262357,"Kootenay Loop @ Bay 3, Vancouver, BC V5K, Canada",2020,"Level1 (<$200)",12
392880,"<18 Months",257246,0,"Burrard St","W Broadway St","Vancouver","Collisions with Other Vehicles",2009,"WF",2020-04-03,49.2636624,-123.1457478,"Burrard St & W Broadway, Vancouver, BC V6J 1Y1, Canada",2020,"Level1 (<$200)",11
392893,"<18 Months",255832,422.17,"W 17 Ave","Granville St","Vancouver","Collisions with Objects",2009,"NOV",2020-01-27,49.25714,-123.139365,"Westbound W 16 Ave @ Granville St, Vancouver, BC V6H 3K2, Canada",2020,"Level2 ($200-$1.000)",11
392868,"<18 Months",255166,0,NA,"VTC Depot","Vancouver","Collisions with Other Vehicles (at G/C)",2018,"NOV",2020-01-08,49.2688889,-123.0836111,"900 Terminal Ave, Vancouver, BC V6A 4G4, Canada",2020,"Level1 (<$200)",2
392871,"<18 Months",254128,0,"MAPLE STREET","BUENA VISTA","Surrey","Collisions with Objects",2017,"GM",2019-11-29,49.0238155,-122.7887583,"Maple St & Buena Vista Ave, White Rock, BC V4B 1Z3, Canada",2019,"Level1 (<$200)",2
392869,"<18 Months",254750,1120.68,"Granville St Bridge","Granville St","Vancouver","Collisions with Objects",2006,"WF",2019-12-25,49.2454569,-123.1392135,"Granville St, Vancouver, BC, Canada",2019,"Level3 ($1.000-$10.000)",13
392859,"<18 Months",255311,0,NA,"Knight St Bridge","Vancouver","Collisions with Objects",2007,"NOV",2020-01-12,49.203238,-123.0775817,"Knight St Bridge, Vancouver, BC, Canada",2020,"Level1 (<$200)",13
392859,"<18 Months",256078,0,"54 St","4 Ave","Delta","Collisions with Objects",2018,"NOV",2020-02-07,49.0100855,-123.0740928,"54 St & 4 Ave, Delta, BC V4M 1H2, Canada",2020,"Level1 (<$200)",2
392859,"<18 Months",257071,0,NA,"Richmond Transit Centre","Richmond","Collisions with Other Vehicles (at G/C)",2009,"NOV",2020-02-25,49.1317346,-123.1013064,"11133 Coppersmith Way, Richmond, BC V7A 5E8, Canada",2020,"Level1 (<$200)",11
392837,"<18 Months",254870,0,NA,"UBC Trolley Loop","Vancouver","Collisions with Other Vehicles (at G/C)",2006,"WF",2019-12-27,49.248321,-123.055908,"Nanaimo Station, Vancouver, BC V5R 1X5, Canada",2019,"Level1 (<$200)",13
392838,"<18 Months",254446,0,"Blenheim St","E 16th Ave","Vancouver","Collisions with Other Vehicles",2009,"NOV",2019-12-17,49.2577342,-123.1780669,"Blenheim St & W 16th Ave, Vancouver, BC V6K, Canada",2019,"Level1 (<$200)",10
392840,"<18 Months",254935,0,"Oak St","Marine Dr","Vancouver","Collisions with Other Vehicles",2006,"WF",2020-01-03,49.2046442,-123.1304313,"SW Marine Dr & Oak St, Vancouver, BC V6P, Canada",2020,"Level1 (<$200)",14
392840,"<18 Months",255215,858.04,"Madison Ave","Hastings St","Burnaby","Collisions with Other Vehicles",2007,"NOV",2020-01-10,49.281047,-123.008645,"Hastings St & Madison Ave, Burnaby, BC V5C 2J7, Canada",2020,"Level2 ($200-$1.000)",13
392844,"<18 Months",254451,0,NA,"Granville St Bridge","Vancouver","Collisions with Objects",2006,"WF",2019-12-17,49.2726148,-123.1331489,"Granville Bridge, Granville Bridge, Vancouver, BC V5Y 1V4, Canada",2019,"Level1 (<$200)",13
392847,"<18 Months",254977,0,"Abbott St","W Pender St","Vancouver","Collisions with Objects",2018,"NOV",2020-01-03,49.2810977,-123.1075616,"Abbott St & W Pender St, Vancouver, BC V6B 1R3, Canada",2020,"Level1 (<$200)",2
392847,"<18 Months",256749,693.52,"Dunsmuir St","Burrard St","Vancouver","Collisions with Other Vehicles",2019,"WF",2020-03-09,49.2855457,-123.1193954,"Burrard St & Dunsmuir St, Vancouver, BC V6C, Canada",2020,"Level2 ($200-$1.000)",1
392816,"<18 Months",254259,0,NA,"Marine Station, Vancouver",NA,"Collisions with Other Vehicles (at G/C)",2009,"WF",2019-12-05,49.248321,-123.055908,"Nanaimo Station, Vancouver, BC V5R 1X5, Canada",2019,"Level1 (<$200)",10
392821,"<18 Months",254457,0,"Granville St","W 16th Ave","Vancouver","Collisions with Other Vehicles",2018,"NOV",2019-12-17,49.2570659,-123.1388013,"Granville St & W 16th Ave, Vancouver, BC V6H 1S5, Canada",2019,"Level1 (<$200)",1
392822,"<18 Months",254555,0,"PENDER","CAMBIE",NA,"Collisions with Other Vehicles",2006,"WF",2019-12-18,49.2815618,-123.1099992,"W Pender St & Cambie St, Vancouver, BC V6B, Canada",2019,"Level1 (<$200)",13
392823,"<18 Months",254624,1270.12,"VTC DEPOT",NA,"Vancouver","Collisions with Objects (at G/C)",2009,"NOV",2019-12-23,49.2688889,-123.0836111,"900 Terminal Ave, Vancouver, BC V6A 4G4, Canada",2019,"Level3 ($1.000-$10.000)",10
392824,"<18 Months",254621,0,"Commercial Dr","Grandview Hwy","Vancouver","Collisions with Other Vehicles (at G/C)",2006,"WF",2019-12-23,49.263731,-123.069751,"Commercial Dr & N Grandview Hwy, Vancouver, BC V5N 4B7, Canada",2019,"Level1 (<$200)",13
392824,"<18 Months",256074,2306.2,NA,"South Surrey Park and Ride","Surrey","Collisions with Objects",2001,"OBI",2020-02-07,49.0721037,-122.8218102,"King George Blvd, Surrey, BC V3T 5H9, Canada",2020,"Level3 ($1.000-$10.000)",19
392826,"<18 Months",256710,0,"Tyne St","E 49th Ave","Vancouver","Collisions with Other Vehicles",2012,"WF",2020-03-06,49.2246684,-123.0322621,"E 49th Ave & Tyne St, Vancouver, BC V5S 1M1, Canada",2020,"Level1 (<$200)",8
392831,"<18 Months",256218,2550.11,"Kerr St","E 49 Ave","Vancouver","Collisions with Objects",2016,"WF",2020-02-14,49.2247142,-123.0411341,"Kerr St & E 49th Ave, Vancouver, BC V5S 2X7, Canada",2020,"Level3 ($1.000-$10.000)",4
392835,"<18 Months",254166,0,"Cambridge St","Nanaimo St","Vancouver","Collisions with Other Vehicles",2006,"WF",2019-12-04,49.2867385,-123.0565532,"Cambridge St & N Nanaimo St, Vancouver, BC V5L 3G5, Canada",2019,"Level1 (<$200)",13
392806,"<18 Months",254878,2499.85,"Drake St","Granville St","Vancouver","Collisions with Other Vehicles",2006,"WF",2019-12-28,49.2761359,-123.1278309,"Granville St & Drake St, Vancouver, BC V6Z 2W6, Canada",2019,"Level3 ($1.000-$10.000)",13
392811,"<18 Months",254213,0,"Cambie St","W Hastings St","Vancouver","Collisions with Other Vehicles",2007,"WF",2019-12-05,49.2825406,-123.1095738,"Cambie St & W Hastings St, Vancouver, BC V6B 2N4, Canada",2019,"Level1 (<$200)",12
392796,"<18 Months",254384,395.97,"Rupert St","E Broadway","Vancouver","Collisions with Objects",2006,"WF",2019-12-15,49.2618299,-123.0338536,"E Broadway & Rupert St, Vancouver, BC V5M 1Z8, Canada",2019,"Level2 ($200-$1.000)",13
392800,"<18 Months",253657,394.41,"W 32 Ave","Granville St","Vancouver","Collisions with Objects",2006,"WF",2019-11-20,49.2436718,-123.1392696,"Granville St & W 32nd Ave, Vancouver, BC V6J 3A5, Canada",2019,"Level2 ($200-$1.000)",13
392801,"<18 Months",254005,1158.93,"Clark Dr","King Edward Ave","Vancouver","Collisions with Objects",2018,"NOV",2019-11-30,49.2485327,-123.0780881,"E King Edward Ave & Clark Dr, Vancouver, BC V5V 2G4, Canada",2019,"Level3 ($1.000-$10.000)",1
392801,"<18 Months",255586,0,"Main St","E Hastings St","Vancouver","Collisions with Other Vehicles",2007,"WF",2020-01-20,49.2813379,-123.0996501,"Main St & E Hastings St, Vancouver, BC V6A 2T7, Canada",2020,"Level1 (<$200)",13
392781,"<18 Months",254868,0,NA,"Marine Dr Stn","Vancouver","Collisions with Other Vehicles (at G/C)",2009,"WF",2019-12-27,49.248321,-123.055908,"Nanaimo Station, Vancouver, BC V5R 1X5, Canada",2019,"Level1 (<$200)",10
392786,"<18 Months",256618,0,"Agnes St","Sixth St","New Westminster","Collisions with Other Vehicles",2009,"NOV",2020-03-03,49.2048634,-122.9099127,"Agnes St & 6th St, New Westminster, BC V3L 5B3, Canada",2020,"Level1 (<$200)",11
392758,"<18 Months",253992,484.49,"Lynn Ave","Main St","North Vancouver","Collisions with Objects",2007,"NOV",2019-11-27,49.3065187,-123.0369476,"Main St & Lynn Ave, North Vancouver, BC V7J 2C3, Canada",2019,"Level2 ($200-$1.000)",12
392760,"<18 Months",255679,0,"Parker St","Commerical Dr","Vancouver","Collisions with Other Vehicles",2006,"WF",2020-01-24,49.2757655,-123.0695393,"Commercial Dr & Parker St, Vancouver, BC V5L 2K5, Canada",2020,"Level1 (<$200)",14
392769,"<18 Months",253691,0,NA,"29th Ave Stn","Vancouver","Collisions with Objects (at G/C)",2008,"NOV",2019-11-19,49.2442071,-123.0459788,"29th Avenue, 2790 E 29th Ave, Vancouver, BC V5R 1V8, Canada",2019,"Level1 (<$200)",11
392769,"<18 Months",255745,0,"Hwy 1","McGill St","Vancouver","Collisions with Other Vehicles",2007,"NOV",2020-01-22,49.3325302,-123.119411,"BC-1, Vancouver, BC, Canada",2020,"Level1 (<$200)",13
392739,"<18 Months",252435,0,"Hawks Ave","W Hastings St","Vancouver","Collisions with Objects",2008,"WF",2019-10-11,49.2876187,-123.1196946,"1066W Hastings St, Vancouver, BC V6E 2M6, Canada",2019,"Level1 (<$200)",11
392739,"<18 Months",254010,395.75,"Commercial Dr","Victoria Diverson","Vancouver","Collisions with Objects",2007,"WF",2019-12-02,49.2543401,-123.0680832,"Commercial Dr & Victoria Diversion, Vancouver, BC V5N 4E4, Canada",2019,"Level2 ($200-$1.000)",12
392739,"<18 Months",256818,0,"W 72nd Ave","Oak St","Vancouver","Collisions with Other Vehicles",2006,"WF",2020-03-12,49.205647,-123.130409,"W 72nd Ave & Oak St, Vancouver, BC V6P 4B4, Canada",2020,"Level1 (<$200)",14
392739,"<18 Months",256826,0,"E 45th Ave","Victoria Dr","Vancouver","Collisions with Other Vehicles",2007,"WF",2020-03-17,49.2294567,-123.0656111,"E 45th Ave & Victoria Dr, Vancouver, BC V5P 3X2, Canada",2020,"Level1 (<$200)",13
392744,"<18 Months",252386,0,"Sophia St","E 41 Ave","Vancouver","Collisions with Other Vehicles",2007,"WF",2019-10-08,49.2329523,-123.0985845,"Sophia St & E 41st Ave, Vancouver, BC V5W 2W4, Canada",2019,"Level1 (<$200)",12
392747,"<18 Months",252935,0,"Davie St","Denman St","Vancouver","Collisions with Other Vehicles",2006,"WF",2019-10-25,49.287273,-123.1418124,"Denman St & Davie St, Vancouver, BC V6G, Canada",2019,"Level1 (<$200)",13
392749,"<18 Months",253574,0,"W Georgia St","Cambie St","Vancouver","Collisions with Objects",2007,"NOV",2019-11-16,49.2793345,-123.1132596,"W Georgia St & Cambie St, Vancouver, BC V6B 4P4, Canada",2019,"Level1 (<$200)",12
385028,"<18 Months",252322,0,"Commercial Dr","W Broadway St","Vancouver","Collisions with Other Vehicles",2006,"WF",2019-10-05,49.263578,-123.120284,"711 W. Broadway @, Heather St, Vancouver, BC V5Z 3Y2, Canada",2019,"Level1 (<$200)",13
385028,"<18 Months",253871,0,"Hamilton St","W Pender St","Vancouver","Collisions with Other Vehicles",2006,"WF",2019-11-27,49.2821368,-123.1109512,"W Pender St & Hamilton St, Vancouver, BC V6B 1T1, Canada",2019,"Level1 (<$200)",13
387535,"<18 Months",253351,0,"Gladstone Ave","Cotton Rd","North Vancouver","Collisions with Other Vehicles",2007,"NOV",2019-11-07,49.3080473,-123.0436684,"Cotton Rd & Gladstone Ave, North Vancouver, BC V7J 1B9, Canada",2019,"Level1 (<$200)",12
387535,"<18 Months",254138,0,"W 10th Ave","Alma St","Vancouver","Collisions with Other Vehicles",2009,"WF",2019-11-30,49.2634805,-123.1858885,"W 10th Ave & Alma St, Vancouver, BC V6R 2G3, Canada",2019,"Level1 (<$200)",10
392719,"<18 Months",257038,0,"Dunbar St","W King Edward Ave","Vancouver","Collisions with Objects",2018,"NOV",2020-02-25,49.2501667,-123.1851973,"Dunbar St & W King Edward Ave, Vancouver, BC V6S 2E5, Canada",2020,"Level1 (<$200)",2
392724,"<18 Months",253061,394.41,"W Hastings St","Commercial Dr","Vancouver","Collisions with Objects",2007,"WF",2019-10-28,49.2812892,-123.070446,"Commercial Dr & E Hastings St, Vancouver, BC V5L 3V6, Canada",2019,"Level2 ($200-$1.000)",12
392725,"<18 Months",252636,0,"Dunbar St","E 41 Ave","Vancouver","Collisions with Other Vehicles",2006,"WF",2019-10-19,49.2347765,-123.1853515,"Dunbar Loop, Vancouver, BC V6N 1W5, Canada",2019,"Level1 (<$200)",13
392728,"<18 Months",254179,0,"Balsam St","W Broadway","Vancouver","Collisions with Other Vehicles",2019,"WF",2019-12-04,49.2639418,-123.1600287,"W Broadway & Balsam St, Vancouver, BC V6K 2E8, Canada",2019,"Level1 (<$200)",0
393392,"<18 Months",254070,2085.62,"TRACK NO 18","VTC DEPOT","Vancouver","Collisions with Objects (at G/C)",2018,"NOV",2019-11-29,49.2827291,-123.1207375,"Vancouver, BC, Canada",2019,"Level3 ($1.000-$10.000)",1
393392,"<18 Months",255869,0,"MacKenzie St","W 41st Ave","Vancouver","Collisions with Other Vehicles",2018,"NOV",2020-01-30,49.234734,-123.170297,"W 41st Ave & MacKenzie St, Vancouver, BC V6N 1H1, Canada",2020,"Level1 (<$200)",2
392696,"<18 Months",253515,0,NA,"2200 Douglas Rd","Burnaby","Collisions with Other Vehicles",2016,"WF",2019-11-13,49.2641111,-122.9894871,"2232 Douglas Rd, Burnaby, BC V5C 5A7, Canada",2019,"Level1 (<$200)",3
392697,"<18 Months",253245,0,"Carral","Cordova",NA,"Collisions with Other Vehicles",2008,"WF",2019-11-01,49.2824744,-123.1043199,"Carrall St & W Cordova St, Vancouver, BC V6C 3N8, Canada",2019,"Level1 (<$200)",11
392703,"<18 Months",252350,0,"Commerical Dr","E Hastings St","Vancouver","Collisions with Objects",2009,"WF",2019-10-05,49.2812892,-123.070446,"Commercial Dr & E Hastings St, Vancouver, BC V5L 3V6, Canada",2019,"Level1 (<$200)",10
392704,"<18 Months",251777,0,"Thurlow St","Dunsmuir St","Vancouver","Collisions with Objects (at G/C)",2018,"NOV",2019-09-18,49.2864643,-123.1220411,"Thurlow St & Dunsmuir St, Vancouver, BC V6E 0A1, Canada",2019,"Level1 (<$200)",1
392704,"<18 Months",251895,0,"Dunbar St","E 41 Ave","Vancouver","Collisions with Objects",2018,"NOV",2019-09-22,49.2347765,-123.1853515,"Dunbar Loop, Vancouver, BC V6N 1W5, Canada",2019,"Level1 (<$200)",1
392708,"<18 Months",253403,411.58,"PARKING LOT","GROUSE MOUNTAIN SKYRIDE","Vancouver","Collisions with Objects (at G/C)",2008,"NOV",2019-11-04,49.372151,-123.099143,"Grouse Mountain @ Skyride, North Vancouver, BC V7R 4K9, Canada",2019,"Level2 ($200-$1.000)",11
392713,"<18 Months",252536,0,NA,"Boundary Rd","Burnaby","Collisions with Other Vehicles",2009,"NOV",2019-10-16,49.2431187,-123.0237208,"Boundary Rd, Burnaby, BC, Canada",2019,"Level1 (<$200)",10
368168,"<18 Months",251189,0,NA,"UBC Loop","Vancouver","Collisions with Other Vehicles (at G/C)",2006,"WF",2019-09-05,49.3280242,-123.1556756,"1454 Marine Dr, West Vancouver, BC V7T 1B7, Canada",2019,"Level1 (<$200)",13
395014,"<18 Months",255232,0,"W Hastings St","Granville St","Vancouver","Collisions with Other Vehicles",2006,"WF",2020-01-14,49.2853053,-123.1138632,"Granville St & W Hastings St, Vancouver, BC V6C 1V4, Canada",2020,"Level1 (<$200)",14
395015,"<18 Months",251845,0,"Fir St","E 5 Ave","Vancouver","Collisions with Other Vehicles",2006,"WF",2019-09-21,49.2670813,-123.1409115,"W 5th Ave & Fir St, Vancouver, BC V6J 1N8, Canada",2019,"Level1 (<$200)",13
395017,"<18 Months",252069,0,"Worthington Dr","E 22 Ave","Vancouver","Collisions with Other Vehicles",2009,"NOV",2019-09-27,49.2506466,-123.0262256,"E 22nd Ave & Worthington Dr, Vancouver, BC V5M 2Z8, Canada",2019,"Level1 (<$200)",10
395017,"<18 Months",254483,0,NA,"Granville St Bridge","Vancouver","Collisions with Objects",2006,"WF",2019-12-13,49.2726148,-123.1331489,"Granville Bridge, Granville Bridge, Vancouver, BC V5Y 1V4, Canada",2019,"Level1 (<$200)",13
395020,"<18 Months",251836,0,NA,"UBC Loop","Vancouver","Collisions with Objects (at G/C)",2007,"NOV",2019-09-23,49.3280242,-123.1556756,"1454 Marine Dr, West Vancouver, BC V7T 1B7, Canada",2019,"Level1 (<$200)",12
395020,"<18 Months",253921,0,"W Georgia St","Cambie St","Vancouver","Collisions with Other Vehicles (at G/C)",2006,"WF",2019-11-28,49.2793345,-123.1132596,"W Georgia St & Cambie St, Vancouver, BC V6B 4P4, Canada",2019,"Level1 (<$200)",13
395020,"<18 Months",253986,0,"Robson St","Granville St","Vancouver","Collisions with Other Vehicles",2007,"WF",2019-11-28,49.2813649,-123.1198429,"Robson St & Granville St, Vancouver, BC V6Z 1A1, Canada",2019,"Level1 (<$200)",12
392689,"<18 Months",253052,0,NA,"Oak St","Vancouver","Collisions with Objects",2006,"WF",2019-10-25,49.3280242,-123.1556756,"1454 Marine Dr, West Vancouver, BC V7T 1B7, Canada",2019,"Level1 (<$200)",13
392689,"<18 Months",254889,0,"Thurlow St","Melville St","Vancouver","Collisions with Other Vehicles",2008,"NOV",2019-12-30,49.2864643,-123.1220411,"Melville St & Thurlow St, Vancouver, BC V6E 0A1, Canada",2019,"Level1 (<$200)",11
392689,"<18 Months",257557,0,"Boundary Rd","Hastings St","Burnaby","Collisions with Other Vehicles",2008,"NOV",2020-02-24,49.2811438,-123.0236986,"Hastings St & Boundary Rd, Vancouver, BC V5K 2B1, Canada",2020,"Level1 (<$200)",12
393614,"<18 Months",252747,0,"W 66 Ave","Granville St","Vancouver","Collisions with Objects",2006,"WF",2019-10-15,49.211359,-123.1404323,"Granville St & W 66th Ave, Vancouver, BC V6P 4Z4, Canada",2019,"Level1 (<$200)",13
393617,"<18 Months",252092,0,"W 33 Ave","Granville St","Vancouver","Collisions with Objects",2007,"WF",2019-09-29,49.2418674,-123.1393324,"Granville St & W 33rd Ave, Vancouver, BC V6H 3M2, Canada",2019,"Level1 (<$200)",12
393619,"<18 Months",254136,0,NA,"VTC depot","Vancouver","Collisions with Other Vehicles (at G/C)",2008,"WF",2019-12-01,49.2688889,-123.0836111,"900 Terminal Ave, Vancouver, BC V6A 4G4, Canada",2019,"Level1 (<$200)",11
393621,"<18 Months",250683,291.22,NA,"UBC Exchange","Vancouver","Collisions with Objects (at G/C)",2006,"WF",2019-08-15,49.2675511,-123.2481004,"UBC Exchange, Greater Vancouver A, University Endowment Lands, BC V6T 2B9, Canada",2019,"Level2 ($200-$1.000)",13
393622,"<18 Months",253457,0,"LANE 15","VTC YARD",NA,"Collisions with Other Vehicles (at G/C)",2007,"WF",2019-11-04,49.1658836,-123.9400648,"Nanaimo, BC, Canada",2019,"Level1 (<$200)",12
393382,"<18 Months",254939,478.66,"224 St","Dewdney Trunk Rd","Maple Ridge","Collisions with Other Vehicles",2016,"GM",2019-12-27,49.2204931,-122.6010181,"224 St & Dewdney Trunk Rd, Maple Ridge, BC V2X 7X7, Canada",2019,"Level2 ($200-$1.000)",3
392665,"<18 Months",249816,0,"HOSPITAL ST","RUSSELL AVE","White Rock","Collisions with Other Vehicles",2017,"GM",2019-07-22,49.0292576,-122.7941769,"Hospital St & Russell Ave, White Rock, BC V4B 2R3, Canada",2019,"Level1 (<$200)",2
392663,"<18 Months",250315,0,"Willow St","Heather St","Vancouver","Collisions with Objects",1982,NA,2019-08-01,49.2631028,-123.1220101,"2525 Willow St, Vancouver, BC V5Z 1J8, Canada",2019,"Level1 (<$200)",37
392663,"<18 Months",251409,0,"Track 54-55","VTC Depot","Vancouver","Collisions with Other Vehicles (at G/C)",2009,"NOV",2019-09-11,49.2827291,-123.1207375,"Vancouver, BC, Canada",2019,"Level1 (<$200)",10
392663,"<18 Months",253547,0,"Track 4","VTC Yard","Vancouver","Collisions with Other Vehicles (at G/C)",2006,"WF",2019-11-14,49.2827291,-123.1207375,"Vancouver, BC, Canada",2019,"Level1 (<$200)",13
392636,"<18 Months",250728,0,"Dunsmuir St","Thurlow St","Vancouver","Collisions with Objects (at G/C)",2009,"NOV",2019-08-16,49.2864643,-123.1220411,"Thurlow St & Dunsmuir St, Vancouver, BC V6E 0A1, Canada",2019,"Level1 (<$200)",10
392650,"<18 Months",250448,1377.79,"Dunbar St","King Edward Ave","Vancouver","Collisions with Objects",2018,"NOV",2019-08-09,49.2501667,-123.1851973,"Dunbar St & W King Edward Ave, Vancouver, BC V6S 2E5, Canada",2019,"Level3 ($1.000-$10.000)",1
392652,"<18 Months",250945,0,"Carrall St","Cordova St.","Vancouver","Collisions with Objects",2006,"WF",2019-08-24,49.2824744,-123.1043199,"Carrall St & W Cordova St, Vancouver, BC V6C 3N8, Canada",2019,"Level1 (<$200)",13
392652,"<18 Months",251117,0,"Cambie St","E 16 Ave","Vancouver","Collisions with Objects",2018,"NOV",2019-09-01,49.2568989,-123.1150068,"Cambie St & W 16th Ave, Vancouver, BC V5Y, Canada",2019,"Level1 (<$200)",1
392654,"<18 Months",250798,0,"Bay 3","Melville St","Vancouver","Collisions with Other Vehicles (at G/C)",2018,"NOV",2019-08-21,49.286391,-123.121757,"Burrard Station @ Bay 3, Vancouver, BC V7X, Canada",2019,"Level1 (<$200)",1
392654,"<18 Months",251597,0,"Richards St","Davie St","Vancouver","Collisions with Other Vehicles",2006,"WF",2019-09-13,49.2758822,-123.1242288,"Davie St & Richards St, Vancouver, BC V6B 5B6, Canada",2019,"Level1 (<$200)",13
392611,"<18 Months",250278,0,"Burrard St","Cornwall St","Vancouver","Collisions with Other Vehicles",2018,"NOV",2019-08-05,49.2724458,-123.1453138,"Burrard St & Cornwall Ave, Vancouver, BC V6J, Canada",2019,"Level1 (<$200)",1
392611,"<18 Months",253824,0,"16 Ave","Cumberland St","Burnaby","Collisions with Objects",2009,"NOV",2019-11-21,49.2319398,-122.9178706,"16th Ave & Cumberland St, Burnaby, BC V3N 4Z9, Canada",2019,"Level1 (<$200)",10
392612,"<18 Months",254770,0,"Buena Vista","17500 Blk","Surrey","Collisions with Other Vehicles",2017,"GM",2019-12-23,49.1913466,-122.8490125,"Surrey, BC, Canada",2019,"Level1 (<$200)",2
